"Exercicio","Mes","Orgao","Cargo","Quantidade","Regime","Ativo"
"2013","1","PBPREV - INATIVO","LOCUTOR APRESENTADOR","4","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","LOCUTOR ENTREVISTADOR","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","OPERADOR DE AUDIO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PUBLICITARIO","8","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","REDATOR","16","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","REPORTER","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","REPORTER FOTOGRAFICO","5","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","REVISOR","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ARQUITETO","3","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ENGENHEIRO","32","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ENGENHEIRO","3","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ENGENHEIRO AGRONOMO","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ENGENHEIRO AGRONOMO","19","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","GEOGRAFO","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","GEOLOGO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE DE ATIV. ADMINISTRAT","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ASSISTENTE DE ADMINISTRACAO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUDITOR FISCAL MERCAD.TRANSITO","40","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUDITOR FISCAL TRIBUTARIO EST.","277","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE ADMINISTRACAO","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE ESCRITA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ECONOMISTA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","TECNICO ADMINISTRATIVO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE DE ATIV. ADMINISTRAT","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ASSESSOR ADMINISTRATIVO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","CONSULTOR DE NIVEL SUPERIOR","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","DEFENSOR PUBLICO 1A ENTRANCIA","1","ESTATUTARIO INATIVO","Inativos"
