"Código da Unidade Orçamentária","Unidade Orçamentária","Código da Unidade Gestora","Unidade Gestora","EXECUTADA (R$)","REALIZADA (R$)","SALDO A PAGAR (R$)"
"36206","FUNDACAO ERNANI SATYRO","360601","FUNDACAO ERNANI SATYRO","446752.72","439777.72","6975.00"
"36209","INST. DE PATRIMONIO HISTORICO E ART. DO EST. DA PARAIBA","360901","INSTIT. DO PATRIMONIO HIST. E ARTIST. DO E.PB","73526.58","65449.46","8077.12"
"36902","FUNDO DE INCENTIVO A CULTURA AUGUSTO DOS ANJOS","760001","FUNDO DE INCENTIVO A CULTURA AUGUSTO DOS ANJOS","348191.12","7978.12","340213.00"
"5101","JUSTICA COMUM","50001","JUSTICA COMUM","401094537.54","394451735.63","6642801.91"
"5101","PARAIBA PREVIDENCIA - PBPREV","90101","JUSTICA COMUM","4233638.73","4233638.73","0.00"
"5102","JUSTICA COMUM","50001","ENCARGOS JUDICIARIOS","93803694.19","93803694.19","0.00"
"5901","FUNDO ESPECIAL DO PODER JUDICIARIO","530001","FUNDO ESPECIAL DO PODER JUDICIARIO","28123217.01","22332315.05","5790901.96"
"5901","JUSTICA COMUM","50001","FUNDO ESPECIAL DO PODER JUDICIARIO","32875448.83","32875448.83","0.00"
"6101","PARAIBA PREVIDENCIA - PBPREV","90101","MINISTERIO PUBLICO","1832444.83","1832444.83","0.00"
"6101","MINISTERIO PUBLICO","60001","MINISTERIO PUBLICO","166558092.71","159235718.22","7322374.49"
"7101","SECRETARIA DE ESTADO DA JUVENTUDE, ESPORTE E LAZER","70001","GABINETE DO SECRETARIO","4269152.15","4037921.61","231230.54"
"9101","CASA CIVIL DO GOVERNADOR","90001","CASA CIVIL DO GOVERNADOR","15438866.20","15322355.48","116510.72"
"9102","GABINETE VICE GOVERNADOR","90002","GABINETE DO VICE-GOVERNADOR","2072998.95","2054589.25","18409.70"
"9103","CASA MILITAR","90003","CASA MILITAR","18194137.78","18124879.80","69257.98"
"9104","ESCRITORIO DE REP. INSTITUCIONAL DO ESTADO DA PARAIBA","90004","ESCRITORIO DE REP. INSTITUCIONAL DO ESTADO DA PARAIBA","458407.47","455301.93","3105.54"
"9201","PARAIBA PREVIDENCIA - PBPREV","90101","PARAIBA PREVIDENCIA - PBPREV","1307669015.17","1307551007.27","118007.90"
"9202","AGENCIA DE REGULACAO DO ESTADO DA PARAIBA","90201","AGENCIA DE REGULACAO DO ESTADO DA PARAIBA","2453383.88","2355074.89","98308.99"
